serial,day,month,year,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_units,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
112,17,6,2013,Spring,1255,0.5,1.5,14,0.914,0.32,0.350109,22.336,0.502,0.022,0.28,0.009,0.032,8.069,0.108,0.013,NTU,11.75,5.121,0.436,3.55,1.875,0.528,97.479,5.194,0.053,8.466,0.482,0.057,41.56347,-82.95092
112,17,6,2013,Spring,1255,1.5,2.5,10,1.995,0.285,0.142857,21.542,0.349,0.016,0.277,0.01,0.036,8.143,0.076,0.009,NTU,15.12,9.662,0.639,3.9,1.523,0.391,101.91,2.428,0.024,8.986,0.256,0.028,41.56347,-82.95092
112,17,6,2013,Spring,1255,9.5,10.5,9,9.899,0.158,0.015961,19.537,0.08,0.004,0.265,0.001,0.004,8.128,0.032,0.004,NTU,415.789,478.699,1.151,12.556,8.869,0.706,102.4,3.047,0.03,9.389,0.268,0.029,41.56347,-82.95092
112,17,6,2013,Spring,1255,2.5,3.5,14,2.921,0.283,0.096885,21.04,0.27,0.013,0.277,0.009,0.032,8.174,0.042,0.005,NTU,11.457,4.85,0.423,5.514,2.864,0.519,103.629,1.614,0.016,9.226,0.187,0.02,41.56347,-82.95092
112,17,6,2013,Spring,1255,3.5,4.5,12,4.021,0.307,0.076349,20.79,0.383,0.018,0.277,0.009,0.032,8.194,0.023,0.003,NTU,11.958,5.085,0.425,4.55,2.784,0.612,104.608,1.535,0.015,9.361,0.2,0.021,41.56347,-82.95092
112,17,6,2013,Spring,1255,6.5,7.5,23,6.843,0.167,0.024405,20.582,0.286,0.014,0.279,0.007,0.025,8.169,0.016,0.002,NTU,29.63,54.829,1.85,5.017,2.458,0.49,104.93,1.651,0.016,9.427,0.195,0.021,41.56347,-82.95092
112,17,6,2013,Spring,1255,5.5,6.5,18,6.015,0.298,0.049543,20.659,0.296,0.014,0.279,0.007,0.025,8.178,0.019,0.002,NTU,15.317,4.417,0.288,5.678,2.59,0.456,105.061,1.682,0.016,9.424,0.197,0.021,41.56347,-82.95092
112,17,6,2013,Spring,1255,4.5,5.5,14,5.046,0.283,0.056084,20.633,0.414,0.02,0.276,0.009,0.033,8.197,0.023,0.003,NTU,12.814,5.412,0.422,5.45,2.407,0.442,105.243,1.981,0.019,9.446,0.245,0.026,41.56347,-82.95092
112,17,6,2013,Spring,1255,8.5,9.5,4,8.878,0.29,0.032665,19.79,0.059,0.003,0.264,0.001,0.004,8.182,0.01,0.001,NTU,8.025,0.31,0.039,4.475,4.704,1.051,106.5,0.337,0.003,9.715,0.021,0.002,41.56347,-82.95092
112,17,6,2013,Spring,1255,7.5,8.5,3,7.963,0.239,0.030014,19.893,0.015,0.001,0.265,0,0,8.197,0.006,0.001,NTU,7.9,0.458,0.058,3.2,2.629,0.822,107.333,0.208,0.002,9.777,0.015,0.002,41.56347,-82.95092
113,17,6,2013,Spring,1440,-0.5,0.5,26,0.162,0.147,0.907407,22.194,0.578,0.026,0.144,0.108,0.75,7.817,0.121,0.015,NTU,123.485,0.438,0.004,3.2,0,0,80.988,0.623,0.008,7.055,0.133,0.019,41.66438,-82.9507
113,17,6,2013,Spring,1440,0.5,1.5,3,0.86,0.329,0.382558,21.42,0.056,0.003,0.265,0.001,0.004,8.053,0.006,0.001,NTU,122.9,0,0,3.2,0,0,81.8,0.1,0.001,7.23,0.01,0.001,41.66438,-82.9507
